"id_microrregiao","volume_producao_cana","microrregiao_centro_sul","uf"
41035,"246274","Cerro Azul","PR"
41025,"229877","Capanema","PR"
31050,"224742","Varginha","MG"
31057,"216525","Lavras","MG"
31061,"207742","Manhuaçu","MG"
41028,"201561","Pitanga","PR"
31008,"199326","Grão Mogol","MG"
41038,"198369","Paranaguá","PR"
35052,"175170","Bananal","SP"
50009,"142146","Bodoquena","MS"
35051,"131859","Guaratinguetá","SP"
41029,"127488","Guarapuava","PR"
41033,"124311","União da Vitória","PR"
51010,"119424","Canarana","MT"
52005,"117770","Chapada dos Veadeiros","GO"
31052,"103812","Pouso Alegre","MG"
35044,"100256","Capão Bonito","SP"
50002,"97870","Aquidauana","MS"
52016,"92800","Pires do Rio","GO"
51012,"91720","Alto Guaporé","MT"
35053,"81517","Paraibuna/Paraitinga","SP"
35047,"77305","Jundiaí","SP"
51020,"69470","Tesouro","MT"
52002,"53940","Rio Vermelho","GO"
35045,"51500","Piedade","SP"
41037,"44585","Curitiba","PR"
41031,"40339","Prudentópolis","PR"
24007,"36125","Umarizal","MG"
51003,"29784","Colíder","MT"
52001,"23102","São Miguel do Araguaia","GO"
50001,"21078","Baixo Pantanal","MS"
51011,"20625","Médio Araguaia","MT"
51007,"20620","Sinop","MT"
35055,"19685","Registro","SP"
51008,"18119","Paranatinga","MT"
41020,"17675","Jaguariaíva","PR"
41030,"14965","Palmas","PR"
51019,"14754","Primavera do Leste","MT"
35060,"11937","Itapecerica da Serra","SP"
51002,"10960","Alta Floresta","MT"
35062,"10300","Mogi das Cruzes","SP"
17003,"8800","Miracema do Tocantins","PR"
51009,"5600","Norte Araguaia","MT"
29017,"4620","Alagoinhas","MG"
41034,"4025","São Mateus do Sul","PR"
35061,"2382","São Paulo","SP"
35049,"600","Campos do Jordão","SP"
35058,"10","Franco da Rocha","SP"
